Displaying
bc:left_bdc | objectfunc:right_down_central | Vforce:1.00000 | delta_x:0.00500 | volfrac:0.50000
Emin:66.66667 | E0:13333.33333 | gamma:0.000000 | tau:0.00500 | lambda:1.00000 | w:1.00000 | gamma1:3.00000 | gamma2:1.50000
 It.:  125 ||Obj.:  0.005216 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  126 ||Obj.:  0.005215 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  127 ||Obj.:  0.005213 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  128 ||Obj.:  0.005212 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  129 ||Obj.:  0.005211 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  130 ||Obj.:  0.005210 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  131 ||Obj.:  0.005209 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  132 ||Obj.:  0.005208 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  133 ||Obj.:  0.005207 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  134 ||Obj.:  0.005206 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  135 ||Obj.:  0.005205 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  136 ||Obj.:  0.005204 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  137 ||Obj.:  0.005204 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  138 ||Obj.:  0.005203 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  139 ||Obj.:  0.005202 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  140 ||Obj.:  0.005202 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  141 ||Obj.:  0.005201 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  142 ||Obj.:  0.005201 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  143 ||Obj.:  0.005200 ||Vol.:  0.500 ||ch.:  2.000 ||r.:10000000000.000 
 It.:  144 ||Obj.:  0.005200 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  145 ||Obj.:  0.005199 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  146 ||Obj.:  0.005198 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  147 ||Obj.:  0.005198 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  148 ||Obj.:  0.005198 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  149 ||Obj.:  0.005198 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  150 ||Obj.:  0.005198 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  151 ||Obj.:  0.005198 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  152 ||Obj.:  0.005197 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  153 ||Obj.:  0.005197 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  154 ||Obj.:  0.005197 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  155 ||Obj.:  0.005197 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  156 ||Obj.:  0.005197 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  157 ||Obj.:  0.005197 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  158 ||Obj.:  0.005196 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  159 ||Obj.:  0.005196 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  160 ||Obj.:  0.005196 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  161 ||Obj.:  0.005195 ||Vol.:  0.500 ||ch.:  3.000 ||r.:10000000000.000 
 It.:  162 ||Obj.:  0.005195 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  163 ||Obj.:  0.005195 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  164 ||Obj.:  0.005195 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  165 ||Obj.:  0.005195 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 It.:  166 ||Obj.:  0.005195 ||Vol.:  0.500 ||ch.:  1.000 ||r.:10000000000.000 
 sharp interface energy:    0.004846
--------------------------------------
--------------------------------------
